HANDLE,COLUMN
decorative-cups-and-mugs-are-25-off-62011-62511,"This week, our ridiculous selection of decorative cups and mugs is 25% off with this coupon.  I say <em>ridiculous</em> because every time I walk through the store, I see another pocket of decorative mugs.  And every time I think, 'That would be a cool mug', even though I don't drink coffee or tea.  Tom pulled a few of them for this week's coupon picture, but those are really just the beginning.



[caption id=""attachment_765"" align=""aligncenter"" width=""640"" caption=""That&#039;s just the beginning of our mugs...""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/06/Decorative-Cups-Mugs-Shinoda-Design-Center.jpg""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/06/Decorative-Cups-Mugs-Shinoda-Design-Center-1024x682.jpg"" alt=""Decorative Cups and Mugs at Shinoda Design Center"" title=""Decorative Cups and Mugs at Shinoda Design Center"" width=""640"" height=""426"" class=""size-large wp-image-765"" /></a>[/caption]



I don't mean to short change our decorative cups by just mentioning the mugs.  In fact, shortly after I first took the job here at Shinoda's, I went to a buying show with some of the team.  I was learning the ropes of buying and spotting what might be hot items.  We came across some painted martini glasses like the ones you can see in the picture above.  They're great gifts for a bridal shower, and since I had picked one out to buy, I keep track of it like a lost puppy that I found.  On a different trip, Catherine picked out one of those 2 cup coffee sets that you can see front and center.  Those have been extremely popular, and she still gets excited when she sees some more missing from the shelf.



You can come in this week and see the products that Catherine and I picked out, along with all of the other decorative cups and mugs we stock here at Shinoda's.  Don't forget to print out your coupon to save 25% off the each price!  And if you see a woman discussing how great the coffee sets are, just say, 'Hi Catherine'.



[caption id=""attachment_764"" align=""aligncenter"" width=""792"" caption=""Don&#039;t forget to print me out""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/06/Decorative-Cups-Mugs-25-off-Shinoda-Design-Center.pdf""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/06/Decorative-Cups-Mugs-25-off-Shinoda-Design-Center.jpg"" alt=""Decorative Cups and Mugs are 25% off at Shinoda Design Center"" title=""Decorative Cups and Mugs are 25% off at Shinoda Design Center"" width=""792"" height=""684"" class=""size-full wp-image-764"" /></a>[/caption] "
san-diego-county-fair-floral-design-competition-6262011,"If you've never witnessed a floral design competition, you are really missing out! Watching the floral designers in action creating arrangements is an incredible delight.



A typical floral design competition consists of two rounds. The first is the designer's choice round. During this round, the floral designer must complete an arrangment consisting of fresh flowers and supplies that they have chosen. There are usually limits on what types of flowers and supplies used. The finished arrangement must also fit into a stated theme. The fun is only starting as they move into round two the ""Surprise Package"". For the ""Surprise Package"" round, the designer's are all given the same flowers and supplies. Under the pressure of a running clock, they must complete an arrangement that fits within the stated theme of the round. This is when you see how truly creative designers can be. I've always found it remarkable how different the arrangements can be even though the designers are forced to use the exact same materials. So, if you've never watched a floral design competition, this is something that I would definitely recommend. Click on the following picture to get a full page PDF version of the event brochure.



<div align=""center""><a href=""/images/promos/2011/April/2011-san-diego-county-fair-floral-design-competition.pdf""><img src=""/images/promos/2011/April/2011-san-diego-county-fair-floral-design-competition.jpg"" alt=""2011 San Diego County Fair Floral Design Competition"" width=""400""></a></div>"
our-poor-gate,"If you came into the store today, you might have noticed something a little different.



[caption id=""attachment_779"" align=""aligncenter"" width=""640"" caption=""Someone discovered that yes, the gate is solid""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/06/Shinoda-Design-Center-Broken-Gate-2.jpg""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/06/Shinoda-Design-Center-Broken-Gate-2-1024x682.jpg"" alt=""The Shinoda Design Center gate is broken, but we&#039;re still open!"" title=""The Shinoda Design Center gate is broken, but we&#039;re still open!"" width=""640"" height=""426"" class=""size-large wp-image-779"" /></a>[/caption]



Our poor gate!  Due to its extreme brokeness, we could not open it this morning without destroying it.  Since we weren't prepared to do that, we kept it shut and opened the gate by Orange County Wholesale.  Shinoda Design Center is still open, even if the gate isn't.  Just go a little farther down the street if you're coming from Segerstrom, or a little less down the street if you're coming from Warner, and turn in.  You can still park in any of the usual spots.



Sorry for the inconvenience.  If you see our gate, don't mention anything about it being broken.  It's very self conscious."
10000-products,"If you have not taken a peek at the catalog section of our site in some time, you may have missed the addition of an extensive amount of product.  We have just added our ten thousandth product!



I began our cataloging efforts in the middle of 2009.  Everything was done in house including researching our e-commerce platform, designing the pages, customizing the pages, starting the accumulation of pictures, and a brief introduction into the world of open source programming and computer code.  At the time, I thought it wouldn't take long to get the site up and product shipped out.  Little did I realize or appreciate the amount of knowledge, skill, and patience it would take to move the project along.



For those of you that have been watching the website evolve, I did not realize how problematic the picture gathering would be.  Almost every vendor picture was formatted for print catalog publication.  This meant that we had different sized pictures and oftentimes many products in a single picture that could not be Photoshopped out.  This required us to take almost every single image ourselves.  With the amount of resources we have devoted to this, you will have a better understanding of why we lock our pictures down so that they cannot be scraped off of our site and the delay in us getting to our ultimate goal of a fully functional and shipping website.



You may have noticed some significant changes to the site in the last couple of months.  Along the way, I went from being a solo act on web development to a department of three.  I am completely self trained.  As the project evolved and expanded, I found that I lacked the technical expertise required and needed help to finish.  That is when Chris took over the helm as Chief Web Architect and he is behind all the wonderful changes that have occurred.



From here, we will continue to add new product.  We are working towards that final step of full e-commerce functionality as we speak.  It is not easy to coordinate and set this up.  We have to understand how to bill for shipping and teach ourselves to become a shipping company as well as continue to operate the warehouses most of you have shopped.  I would like to thank every one of our web users for being patient with us as we continue to finalize our web project.



As a final note, if you have ideas about features you would like the website to include, feel free to email the web team at webmaster@shinodasales.com, use the site contact form, or comment on this blog.  "
americana-is-25-off-62711-7211,"Just in time for July 4th, Shinoda's is having a 25% off sale on our Americana.  Americana is anything we have that has red, white, and blue in it (must have all 3 ... otherwise it's just not patriotic enough!).  Here's another meticulously staged masterpiece from Tom showing a small bit of what we have to offer.



[caption id=""attachment_803"" align=""aligncenter"" width=""640"" caption=""U-S-A ... U-S-A!  Thanks, Tom""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/06/Americana-Red-White-Blue-Shinoda-Design-Center.jpg""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/06/Americana-Red-White-Blue-Shinoda-Design-Center-1024x682.jpg"" alt=""Americana Red White and Blue at Shinoda Design Center"" title=""Americana Red White and Blue at Shinoda Design Center"" width=""640"" height=""426"" class=""size-large wp-image-803"" /></a>[/caption]



July 4th is a pretty important holiday for me.  I grew up in the Philadelphia area, and spent 5.5 years in Center City, Philadelphia, before I moved out here in January.  About 20 blocks east of my house was Independence Hall, where the United States Declaration of Independence was signed on July 4th, 1776.  A few blocks from that sits the Liberty Bell.  And surrounding that area in Old City are houses that belonged to people like Benjamin Franklin and Betsy Ross, the church that George Washington attended while he was in the city, and the Delaware River that George Washington and his troops famously crossed in the winter of 1776.  I would often walk down there for some other purpose, only to find myself watching a crowd of people seeing the Liberty Bell for the first time.



So that's what I'll be thinking about this July 4th.  And even if Orange County is just about as far away from Philadelphia as you can be and still be in the continental United States, it still has Philadelphia to thank for hosting the beginning of our nation.  Bring your coupon (which is just at the bottom of this post) and get 25% off our Americana inventory so you can express your patriotism in your own way.  If I see you in the store, I can tell you all about the city of brotherly love and the founding of the United States.  I can even show you my Pennsylvania tattoo, complete with Philadelphia area code (seriously, I have one of those).



Hope to see you at the store!



[caption id=""attachment_802"" align=""aligncenter"" width=""792"" caption=""Don&#039;t forget to bring me!""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/06/Americana-Red-White-Blue-25-off-Shinoda-Design-Center.pdf""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/06/Americana-Red-White-Blue-25-off-Shinoda-Design-Center.jpg"" alt=""Americana Red White and Blue is 25% off this week at Shinoda Design Center"" title=""Americana Red White and Blue is 25% off this week at Shinoda Design Center"" width=""792"" height=""684"" class=""size-full wp-image-802"" /></a>[/caption] "
san-diego-floral-design-competition,"Most people go to the fair to enjoy the rides, games, and especially the food.  My first time to the fair in 20 years, I went for the San Diego Floral Design Competition, this past Sunday June 26<sup>th</sup>, at the San Diego County Fair.



Floral competitions generally have 2 parts: Designer’s Choice and Surprise Package.  There is usually a theme for the designs and there are of course size limitations.



For this competition, the designers were given 45 minutes to complete the first portion based on the theme ‘Riding in Style.’  They came with their flowers fully in tact, their armatures or containers set, and their tools ready.  It’s fascinating to see the designs come to life, especially in this case because they had to incorporate ‘Riding.’  We saw tires, steering wheels, little toy cars, checkered flags, and various carriages and wheels.



The Surprise Package is great because none of the designers know what to expect.  They are all given the same materials: flowers, greens, ribbon, tulle, chenille (pipe cleaners to those of us outside of the industry), flat wire, oasis, pew holders, and in this case wire hangers and a chair.  They had 30 minutes to complete their design.



The goal was to use the materials present to create a floral design that would decorate the chairs for a VIP benefit dinner sponsoring a racing event.  A few of us discussed this part of the competition afterwards and decided next time the Surprise Package should include Match Box cars….ooo! or maybe toy tires to tie into the ends of the ribbon.  I think it could work.  This was a tough theme!



After long deliberation and tallying, the winners were announced:



1<sup>st</sup> place: Suzie Bowen



2<sup>nd</sup> place: Sonja Longley



3<sup>rd</sup> place and People’s Choice Winner: Masako Lesure



I did make it into the other parts of the fair, but I stayed away from those fried concoctions everyone is so crazy about.  Maybe in another 20 years…I’ll stick to flowers for now.



See you around the store!



Stacey



[nggallery id=30] "
local-teleflora-florists-celebrate-make-someone-smile%c2%ae-week-july-17-23-2011,"<strong>LOS ANGELES (June 29, 2011)</strong> – Teleflora, the world’s leading flower wire service, offering only hand-arranged, hand-delivered floral arrangements, announced today its plans for <em>Make Someone Smile<sup>®</sup> Week</em>, the floral industry’s leading benevolent program running from Sunday, July 17 through Saturday, July 23. Thousands of Teleflora member florists and community volunteers are set to deliver flower bouquets in the company’s keepsake Be Happy® Mug to those most in need of a smile – such as hospital patients, senior citizens living in nursing homes and assisted living homes, and recipients of Meals-on-Wheels programs.



Teleflora will donate more than <strong>40,000</strong> of their <em>Be Happy</em>® <em>Mugs</em> through its units program to member florists, who will work with local wholesalers and growers to secure donated flowers. Local Teleflora florists will use these donations to make cheery <em>Be Happy</em>® <em>Bouquets, </em>full of beautiful flowers, and deliver them to residents of their choosing in their local communities.



“Last year marked the 10<sup>th</sup> anniversary of <em>Make Someone Smile<sup>®</sup> Week</em> and it’s wonderful that in year 11, the florists continue to amaze me with their interest and enthusiasm for the program,” said Rich Salvaggio, Vice President of Industry Relations and Publications, Teleflora.  “The joy on the faces of the recipients reinforces why this program continues to be so successful with the help of our local unit boards, florists and volunteers.”



As florists around the country are making deliveries during <em>Make Someone Smile<sup>®</sup> Week,</em> consumers can order a smile for that special someone in their lives by visiting <a href=""http://www.teleflora.com/"">http://www.teleflora.com</a> and purchasing a<em> Be Happy</em>® <em>Bouquet</em> for $46.95.



Last year’s program spanned over<strong> 200 </strong>cities throughout the United States and Canada; more than <strong>2,000</strong> florists donated their time.  Teleflora’s program delivered more than <strong>33,000 </strong>bouquets to those most in need of a smile.  For more information on Teleflora’s <em>Make Someone Smile<sup>®</sup> Week,</em> or how you can get involved,<strong> </strong>call 310.966.8328."
christmas-in-july-25-off-selected-christmas-products-at-shinoda,"It's that special time of year that every little boy and girl dream about ... <a href=""/christmas/"">Christmas </a>in July Eve!



Well, at least every little boy and girl at Shinoda dream about it.  That's because tomorrow, Shinoda Design Center kicks off the beginning of <em>our</em> Christmas season.  It's an exciting time to be at the store, as the aisles are teeming with excited/frantic shoppers, sorting through thousands of Christmas products, trying to make a decision.



[caption id="""" align=""aligncenter"" width=""600"" caption=""My name is Poinsettia, and I&#039;m 25% off at Shinoda Design Center during July""]<a target=""_blank"" href=""/christmas/poinsettias/""><img alt=""Poinsettias at Shinoda Design Center"" src=""/media/catalog/product/cache/1/image/600x600/9df78eab33525d08d6e5fb8d27136e95/f/i/file_3_3.jpg"" title=""Poinsettias at Shinoda Design Center"" width=""600"" height=""600"" /></a>[/caption]



But why does it start so early?  I mean, July is the middle of summer.  Back home, we were trying very hard not to think about winter or anything cold in July (although out here, the weather at Christmas time is only a little cooler than July).  Even thinking about Labor Day made us a little skittish.  So why are we already talking about Christmas?



Because we have to.  Christmas comes earlier and earlier in the retail world these days.  It's not uncommon to see Christmas items out in October in some high profile retail locations.  Since we're a wholesale operation, we need to be ready to serve those customers ahead of that schedule.  We're in full Christmas swing by the time September rolls around (I'm already shaking thinking about Mark coming back and telling me I need to cashier.  For all I know about computers, I still don't understand our point of sale program).



July is your chance to beat the rush.  Here are just a few reasons you should shop our July sale:

<ol>

	<li>Christmas is definitely happening again this year.  I just double checked to make sure.</li>

	<li>Your clients are going to want Christmas stuff.  I don't have to double check that.</li>

	<li>Right now, you can get selected Christmas merchandise for 25% less than at the last minute.</li>

	<li>Right now, you can get first crack at Christmas merchandise, before it's been thoroughly picked through.</li>

	<li>Because <a href=""/christmas/poinsettias/"">poinsettias</a> are 25% off, and we have a ridiculous selection of poinsettias.</li>

</ol>



[caption id="""" align=""alignleft"" width=""265"" caption=""I am also 25% off.""]<a target=""_blank"" href=""/christmas/ornaments/""><img alt=""Christmas Ornaments at Shinoda Design Center"" src=""/media/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/3/1/3193711984.jpg"" title=""Christmas Ornaments at Shinoda Design Center"" width=""265"" height=""265"" /></a>[/caption]

[caption id="""" align=""alignright"" width=""265"" caption=""Yes, I too am 25% off""]<a target=""_blank"" href=""/christmas/trees/""><img alt=""Christmas Trees at Shinoda Design Center"" src=""/media/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/4/6/4629475030.jpg"" title=""Christmas Trees at Shinoda Design Center"" width=""265"" height=""265"" /></a>[/caption]



Will we still have great Christmas stuff in December?  Sure.  We'll even have great stuff the week before Christmas; that's what we do.  But during July, you can get a lot of it for 25% off, and you won't have to contend with the other shoppers during the pre-Christmas frenzy.  Check out all the details on the flyer below.  You don't need a coupon for this one: just yourself and a Shinoda membership.



See you around the store!



[caption id=""attachment_821"" align=""aligncenter"" width=""792"" caption=""You don&#039;t need to print me out.  Just come in and save money""]<a href=""http://www.shinodadesigncenter.net/christmas""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Christmas-In-July-Shinoda-Design-Center.jpg"" alt=""Christmas In July at Shinoda Design Center"" title=""Christmas In July at Shinoda Design Center"" width=""792"" height=""612"" class=""size-full wp-image-821"" /></a>[/caption] "
glass-vases-over-10-are-25-off-7511-7911,"This week, with this coupon, you can save 25% on all of our glass vases over $10.  You can see the selection that Tom pulled for the picture this week, and that is just a sample of glass vases that we have to offer.



[caption id=""attachment_833"" align=""aligncenter"" width=""640"" caption=""Just scratching the surface of our glass vases.  Thanks, Tom!""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Glass-Vases-Shinoda-Design-Center.jpg""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Glass-Vases-Shinoda-Design-Center-1024x682.jpg"" alt=""Glass Vases at Shinoda Design Center"" title=""Glass Vases at Shinoda Design Center"" width=""640"" height=""426"" class=""size-large wp-image-833"" /></a>[/caption]



Vases (or <a href=""/containers/"">containers </a>as we call them) are one of our specialties here.  It's one of our main categories on our website, and it's one of our most popular pages.  That's because we have such a large selection, and we're always adding new ones to the site.  If you want some ideas, check out our <a href=""/containers/glass/decor/"">glass containers</a>.  Remember, the vase has to be glass and cost $10 or more to be eligible, so keep that in mind while browsing.  Don't forget to print out your coupon, and we'll see you around the store!



[caption id=""attachment_831"" align=""aligncenter"" width=""792"" caption=""Don&#039;t forget to print me out!""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Glass-Vases-25-off-Shinoda-Design-Center.pdf""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Glass-Vases-25-off-Shinoda-Design-Center.jpg"" alt=""Glass Vases are 25% off at Shinoda Design Center"" title=""Glass Vases are 25% off at Shinoda Design Center"" width=""792"" height=""684"" class=""size-full wp-image-831"" /></a>[/caption] "
potted-orchids-are-25-off-71111-71611,"With your coupon this week, take 25% off the each price of our selection of potted orchids.  We have an orchid and a pot for just about any setting, room, or occasion, and you can see some of our selection in this week's, 'Masterpiece by Tom'.

[caption id=""attachment_849"" align=""aligncenter"" width=""640"" caption=""Some of our orchids in a variety of cool pots.  Thanks, Tom!""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Potted-Orchids-Shinoda-Design-Center.jpg""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Potted-Orchids-Shinoda-Design-Center-1024x682.jpg"" alt=""Wholesale Potted Orchids at Shinoda Design Center"" title=""Wholesale Potted Orchids at Shinoda Design Center"" width=""640"" height=""426"" class=""size-large wp-image-849"" /></a>[/caption]



I have a lot of experience with orchids, mostly filed under 'killing of'.  I don't want to name any names, but someone that I live with who is not me is pretty good at vanquishing even the sturdiest of orchids.  Shinoda orchids are 'that person' proof and can be enjoyed year round.  Make sure you bring in your coupon this week, and you can save 25%.



See you around the store.



[caption id=""attachment_847"" align=""aligncenter"" width=""792"" caption=""Don&#039;t forget to bring me!""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Potted-Orchids-25-off-Shinoda-Design-Center.pdf""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Potted-Orchids-25-off-Shinoda-Design-Center.jpg"" alt=""Potted Orchids are 25% off Shinoda Design Center"" title=""Potted Orchids are 25% off Shinoda Design Center"" width=""792"" height=""684"" class=""size-full wp-image-847"" /></a>[/caption] "
try-the-1-button,"You might have noticed around the site a +1 button next to the facebook like buttons.  The +1 button is Google's answer to the like button, and is part of their new platform Google+.



If you see something you like, be it a blog post, product, or a page, you can click the +1 button to let everyone know you think it's cool.  And since it's a Google product, +1's will also show up in search results, so you can see what other people think about it.[caption id=""attachment_853"" align=""aligncenter"" width=""512"" caption=""One of our plus one buttons, which someone has already clicked!""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/PlusOneButton.jpg""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/PlusOneButton.jpg"" alt=""Shinoda Design Center Plus One Button"" title=""Shinoda Design Center Plus One Button"" width=""512"" height=""73"" class=""size-full wp-image-853"" /></a>[/caption]



By using the +1 button, you can tell us what products you like, what content you'd like to see more of, etc.  And don't worry: you can click any +1 button again to undo.



-Chris  "
first-endcap-of-christmas,"I went out on the floor the other day to catch our designers in the act of setting up a Christmas endcap.  One problem: camera was out of batteries.  So unfortunately I couldn't get any pictures of them in the design process, but I did take some pictures of their handiwork a little later.[caption id=""attachment_860"" align=""aligncenter"" width=""640"" caption=""Christmas time is here""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Christmas-Endcap-Shinoda-Design-Center-4.jpg""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Christmas-Endcap-Shinoda-Design-Center-4-1024x682.jpg"" alt=""Christmas Endcap at Shinoda Design Center"" title=""Christmas Endcap at Shinoda Design Center"" width=""640"" height=""426"" class=""size-large wp-image-860"" /></a>[/caption]



I can't get over how detailed the endcaps are.  There's the papering of the back, the decorations running up the four corners of the endcaps, and even the tops.  It's really nice to look at our professionally designed endcaps (as the pro designers out there already know) because our designers know how to create an attractive display without making it too busy, too plain, too empty, or too confusing.  Sometimes I'm lucky enough to stumble upon an attractive looking layout, but our designers actually know why that is attractive or what about it is particularly eye catching.  Since my first question is usually, 'what color is this again?', I think I'll leave the endcap design to the pros.  Luckily, we have some good ones working at Shinodas.



I'll be posting more pictures as they come in.  Christmas is a really exciting time for us at Shinoda's, and the Christmas endcaps are part of what makes Shinoda's, Shinoda's.  Hopefully the photos can do them some justice, although they're really best viewed in person.



[nggallery id=32]

"
potted-silk-trees-48-and-over-are-25-off-718-723,"Our coupon sale this week is on potted silk trees 48"" and over.  I happen to know we have a great selection of these because I counted them during our inventory a couple weeks ago.  I counted them for about 45 minutes, and that was only half of what we have.  Tom, our photographer, can just ask people to bring them to him for a picture, which would have made inventory a lot easier.  Here's what he captured this week.

[caption id=""attachment_865"" align=""aligncenter"" width=""640"" caption=""Some of our silk trees.  There are a lot more.  Trust me: I counted them.""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Silk-Trees-Shinoda-Design-Center.jpg""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Silk-Trees-Shinoda-Design-Center-1024x682.jpg"" alt=""Silk Trees at Shinoda Design Center"" title=""Silk Trees at Shinoda Design Center"" width=""640"" height=""426"" class=""size-large wp-image-865"" /></a>[/caption]



Just like every week, don't forget to bring in your coupon, which is just below this paragraph.  Also, the coupon says that it doesn't count for Christmas Trees.  Never fear!  Since it is <a href=""http://www.shinodadesigncenter.net/2011/07/01/christmas-in-july-25-off-selected-christmas-products-at-shinoda/"" title=""Christmas In July"" target=""_blank"">Christmas In July</a>, you still get 25% off Christmas trees, and you don't even need a coupon.  Not bad.



See you around the store!



[caption id=""attachment_864"" align=""aligncenter"" width=""792"" caption=""Don&#039;t forget to cut me out and bring me!""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Silk-Trees-25-off-Shinoda-Design-Center.pdf""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Silk-Trees-25-off-Shinoda-Design-Center.jpg"" alt=""Silk Trees are 25% off at Shinoda Design Center"" title=""Silk Trees are 25% off at Shinoda Design Center"" width=""792"" height=""684"" class=""size-full wp-image-864"" /></a>[/caption] "
christmas-trees-at-shinodas,"The other day I walked to the end of aisle 1 at the Santa Ana warehouse to check out our <a href=""/christmas/"" title=""Christmas"" target=""_blank"">Christmas </a>tree selection.  We have some ridiculous trees back there.

[caption id=""attachment_873"" align=""aligncenter"" width=""640"" caption=""That&#039;s a big christmas tree""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Christmas-Tree-18-Foot-Shinoda-Design-Center-3.jpg""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Christmas-Tree-18-Foot-Shinoda-Design-Center-3-682x1024.jpg"" alt=""18 Foot Christmas Tree at Shinoda Design Center"" title=""18 Foot Christmas Tree at Shinoda Design Center"" width=""640"" height=""960"" class=""size-large wp-image-873"" /></a>[/caption]



That is an 18' Christmas tree.  I put our big shopping cart in to give you some scale.  It reminds me of the tree that the city of Philadelphia would put up in Rittenhouse Square every year.  If you don't have an 18' ceiling in your living room, or you're not the city of Philadelphia, but you still want a tree that makes an impact, we have a bunch of great looking tall trees on aisle 1.



And don't forget, all Christmas trees are 25% off this month.  That won't be the case during Christmas season, so make sure you check out the end of aisle 1 on your next visit.



See you around the store.



[nggallery id=33] "
last-look-at-the-santa-ana-endcaps,"<del datetime=""2011-07-28T00:19:54+00:00"">Just before we make the switch to Christmas/Thanksgiving/Halloween endcaps, we thought we'd show you how the endcaps look.  So here's a gallery of some of our endcaps on the eve of them heading to the big endcap in the sky.  Enjoy!

</del>

Edit:  Sorry, this is actually the first look at some of our new endcaps that we're putting in.  I had it turned around.  In either case, enjoy them!

[nggallery id=34] "
natural-baskets-are-25-off-72511-73011,"This week, with the coupon below, you'll save 25% on our selection of <a href=""/containers/baskets/natural/"" title=""Natural Baskets"" target=""_blank"">natural baskets</a>.  As usual, Tom supplies the visual basket bonanza.

[caption id=""attachment_890"" align=""aligncenter"" width=""640"" caption=""A sample of our natural baskets.  Thanks, Tom!""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Natural-Baskets-Shinoda-Design-Center.jpg""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Natural-Baskets-Shinoda-Design-Center-1024x682.jpg"" alt=""Natural Baskets at Shinoda Design Center"" title=""Natural Baskets at Shinoda Design Center"" width=""640"" height=""426"" class=""size-large wp-image-890"" /></a>[/caption]



Not only do we have a great variety of styles, but most of our baskets come in 3 or more sizes.  You can find a style and size that fit your need.  And with the coupon this week, you can save 25%, so now's a great time to stock up.  So remember to click the link below to get a printable copy, and bring it along with you.



See you around the store!



[caption id=""attachment_888"" align=""aligncenter"" width=""792"" caption=""Don&#039;t forget to print me out!""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Natural-Baskets-25-off-Shinoda-Design-Center.pdf""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/07/Natural-Baskets-25-off-Shinoda-Design-Center.jpg"" alt=""Natural Baskets are 25% off Shinoda Design Center"" title=""Natural Baskets are 25% off Shinoda Design Center"" width=""792"" height=""684"" class=""size-full wp-image-888"" /></a>[/caption] "
new-halloween-and-christmas,"I don't know if anyone looks at our webpage more than I do (James is pretty close though).  Most of the time I'm cruising around to see if I broke something, or I'm looking at the next section that I want to accidentally break.  Rarely do I get to see the new stuff we've added.



A couple days ago, while checking the <a href=""/new/"" title=""New"">new</a> page for a problem I thought I had created, I stopped to look at some of our new merchandise.  We've been posting a lot of Christmas, Halloween, and Thanksgiving items.  I sifted through some of my favorites and wanted to post them here.



[caption id="""" align=""aligncenter"" width=""600"" caption=""Count the days of Christmas""]<a href=""http://www.shinodadesigncenter.net/24-snwmn-count-days-calendar.html/"" target=""_blank""><img alt="""" src=""/media/catalog/product/cache/1/image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/4/8418557364.jpg"" title=""Snowman Calendar at Shinoda Design Center"" width=""600"" height=""600"" /></a>[/caption]

I'm a sucker for snowmen, especially those with giant grins and great noses like this one.  He also has little pockets on his coat that let you mark what day of Christmas it is.  Love that one.



[caption id="""" align=""aligncenter"" width=""600"" caption=""Put candy in me""]<a href=""http://www.shinodadesigncenter.net/4-25x5-5-sm-spider-bowl.html/"" target=""_blank""><img alt=""Spider Bowl at Shinoda Design Center"" src=""/media/catalog/product/cache/1/image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/5/8511452308.jpg"" title=""Spider Bowl at Shinoda Design Center"" width=""600"" height=""600"" /></a>[/caption]

Can't think of a better place to put Halloween candy than in a spider bowl.  It's a perfect dose of Halloween: not too gruesome and not too cute.



[caption id="""" align=""aligncenter"" width=""600"" caption=""Mummy!""]<a href=""http://www.shinodadesigncenter.net/22-plush-telesc-mummy-fig.html/"" target=""_blank""><img alt=""Mummy at Shinoda Design Center"" src=""/media/catalog/product/cache/1/image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/5/8511454141.jpg"" title=""Mummy at Shinoda Design Center"" width=""600"" height=""600"" /></a>[/caption]

Last but not least, a mummy.  I never really understood mummies in horror movies.  They moved really slowly, and it was never really clear what they were going to do with you if they caught you.  Our mummies represent a departure from the traditional mummy.  Realizing that he's not very good at terrorizing people, he's gotten himself a Halloween colored bow tie, and he's probably heading to a Halloween party somewhere with his 'Happy Haunting' bat.



You can check out all of our new stuff in one of our stores.  You still have 2 days left to take advantage of our Christmas in July sale, so hurry!



See you around the store.



-Chris

"
